id	commune_name_ascii	commune_name	daira_code	daira_name_ascii	daira_name	wilaya_code	wilaya_name_ascii	wilaya_name
1	Adrar	أدرار	101	Adrar	أدرار	01	Adrar	أدرار
6	Bouda	بودة	101	Adrar	أدرار	01	Adrar	أدرار
13	Ouled Ahmed Timmi	أولاد أحمد تيمي	101	Adrar	أدرار	01	Adrar	أدرار
16	Reggane	رقان	104	Reggane	رقان	01	Adrar	أدرار
17	Sali	سالي	104	Reggane	رقان	01	Adrar	أدرار
18	Sebaa	السبع	108	Tsabit	تسابيت	01	Adrar	أدرار
27	Tsabit	تسابيت	108	Tsabit	تسابيت	01	Adrar	أدرار
10	In Zghmir	إن زغمير	111	Zaouiat Kounta	زاوية كنتة	01	Adrar	أدرار
28	Zaouiet Kounta	زاوية كنتة	111	Zaouiat Kounta	زاوية كنتة	01	Adrar	أدرار
2	Akabli	اقبلي	112	Aoulef	أولف	01	Adrar	أدرار
4	Aoulef	أولف	112	Aoulef	أولف	01	Adrar	أدرار
22	Timekten	تيمقتن	112	Aoulef	أولف	01	Adrar	أدرار
26	Tit	تيت	112	Aoulef	أولف	01	Adrar	أدرار
9	Fenoughil	فنوغيل	115	Fenoughil	فنوغيل	01	Adrar	أدرار
20	Tamantit	تامنطيط	115	Fenoughil	فنوغيل	01	Adrar	أدرار
21	Tamest	تامست	115	Fenoughil	فنوغيل	01	Adrar	أدرار
39	Chlef	الشلف	201	Chlef	الشلف	02	Chlef	 الشلف
54	Oum Drou	أم الدروع	201	Chlef	الشلف	02	Chlef	 الشلف
55	Sendjas	سنجاس	201	Chlef	الشلف	02	Chlef	 الشلف
56	Sidi Abderrahmane	سيدي عبد الرحمن	202	Tenes	تنس	02	Chlef	 الشلف
57	Sidi Akkacha	سيدي عكاشة	202	Tenes	تنس	02	Chlef	 الشلف
62	Tenes	تنس	202	Tenes	تنس	02	Chlef	 الشلف
32	Beni  Bouattab	بني بوعتاب	204	El Karimia	الكريمية	02	Chlef	 الشلف
42	El Karimia	الكريمية	204	El Karimia	الكريمية	02	Chlef	 الشلف
